paper_id,instrument_id,status,evidence_quote,checked_date,notes
P00001,I00001,verified_true,,2026-06-08T16:10:43,review_decision=Correct instrument/component | corrected_instrument=AuroraMAX
P00002,I00001,verified_true,,2026-06-08T16:11:28,review_decision=Correct instrument/component | corrected_instrument=AuroraMAX
P00003,I00001,verified_true,,2026-06-08T16:11:08,review_decision=Correct instrument/component | corrected_instrument=AuroraMAX
P00004,I00007,verified_true,,2026-06-08T16:07:43,review_decision=Correct instrument/component | corrected_instrument=AGO
P00014,I00002,verified_false,,2026-06-09T10:46:22,review_decision=Incorrect instrument/component | corrected_instrument=REGO
P00024,I00006,verified_true,,2026-06-09T10:40:23,review_decision=Correct instrument/component | corrected_instrument=Rainbow
P00024,I00004,verified_true,,2026-06-09T11:08:04,review_decision=Correct instrument/component | corrected_instrument=SuperDARN
P00024,I00007,verified_true,,2026-06-08T15:59:59,review_decision=Correct instrument/component | corrected_instrument=AGO
P00035,I00012,verified_true,,2026-06-09T10:32:39,review_decision=Correct instrument/component | corrected_instrument=GO STORM MSP
P00038,I00009,verified_true,,2026-06-09T11:20:30,review_decision=Correct instrument/component | corrected_instrument=TREx
P00040,I00002,verified_true,,2026-06-09T10:41:10,review_decision=Correct instrument/component | corrected_instrument=REGO
P00040,I00013,verified_true,,2026-06-09T11:04:07,review_decision=Correct instrument/component | corrected_instrument=SEC/OTHER
P00044,I00002,verified_true,,2026-06-09T10:40:50,review_decision=Correct instrument/component | corrected_instrument=REGO
P00061,I00004,verified_true,,2026-06-09T11:07:39,review_decision=Correct instrument/component | corrected_instrument=SuperDARN
P00074,I00019,verified_true,,2026-06-08T15:53:03,review_decision=Correct instrument/component | corrected_instrument=ABOVE
P00077,I00014,verified_true,,2026-06-09T11:06:58,review_decision=Correct instrument/component | corrected_instrument=Single Beam Riometer
P00078,I00014,verified_true,,2026-06-09T11:07:13,review_decision=Correct instrument/component | corrected_instrument=Single Beam Riometer
P00079,I00019,verified_true,,2026-06-08T15:57:15,review_decision=Correct instrument/component | corrected_instrument=ABOVE
P00081,I00017,verified_false,,2026-06-09T10:36:28,review_decision=Incorrect instrument/component | corrected_instrument=GO_RIO
P00082,I00014,unsure,,2026-06-09T11:05:32,review_decision=Unsure | corrected_instrument=Single Beam Riometer
P00083,I00020,verified_true,,2026-06-09T11:16:16,review_decision=Correct instrument/component | corrected_instrument=SWAN HSR
P00085,I00002,verified_false,,2026-06-09T10:50:07,review_decision=Incorrect instrument/component | corrected_instrument=REGO
P00087,I00021,verified_false,,2026-06-09T10:16:48,review_decision=Incorrect instrument/component | corrected_instrument=CHAIN
P00098,I00018,verified_true,,2026-06-08T16:23:40,review_decision=Correct instrument/component | corrected_instrument=CANOPUS
P00100,I00014,verified_true,,2026-06-09T11:07:19,review_decision=Correct instrument/component | corrected_instrument=Single Beam Riometer
P00100,I00017,verified_true,,2026-06-09T10:38:47,review_decision=Correct instrument/component | corrected_instrument=GO_RIO
P00105,I00004,verified_true,,2026-06-09T11:09:08,review_decision=Correct instrument/component | corrected_instrument=SuperDARN
P00153,I00018,verified_true,,2026-06-08T16:24:38,review_decision=Correct instrument/component | corrected_instrument=CANOPUS
P00179,I00005,verified_true,,2026-06-09T11:19:42,review_decision=Correct instrument/component | corrected_instrument=THEMIS ASI
P00184,I00005,verified_true,,2026-06-09T11:16:26,review_decision=Correct instrument/component | corrected_instrument=THEMIS ASI
P00206,I00012,verified_true,,2026-06-09T10:32:24,review_decision=Correct instrument/component | corrected_instrument=GO STORM MSP
P00212,I00010,verified_true,,2026-06-09T10:31:57,review_decision=Correct instrument/component | corrected_instrument=FESO
P00212,I00007,verified_true,,2026-06-08T16:08:02,review_decision=Correct instrument/component | corrected_instrument=AGO
P00213,I00005,verified_false,,2026-06-09T11:18:01,review_decision=Incorrect instrument/component | corrected_instrument=THEMIS ASI
P00218,I00007,verified_true,,2026-06-08T16:08:56,review_decision=Correct instrument/component | corrected_instrument=AGO
P00249,I00005,verified_true,,2026-06-09T11:19:18,review_decision=Correct instrument/component | corrected_instrument=THEMIS ASI
P00251,I00017,verified_true,,2026-06-09T10:37:23,review_decision=Correct instrument/component | corrected_instrument=GO_RIO
P00266,I00005,verified_true,,2026-06-09T11:18:16,review_decision=Correct instrument/component | corrected_instrument=THEMIS ASI
P00297,I00022,verified_true,,2026-06-08T16:12:10,review_decision=Correct instrument/component | corrected_instrument=AUTUMNX
P00312,I00022,verified_true,,2026-06-09T10:00:31,review_decision=Correct instrument/component | corrected_instrument=AUTUMNX
P00317,I00022,verified_true,,2026-06-08T16:12:01,review_decision=Correct instrument/component | corrected_instrument=AUTUMNX
